Sample ID,Habitat,Vegetation,LatitudeN,LongitudeE,Al_mgperg,Zn_mgperg,Mn_mgperg,Mg_mgperg,Ca_mgperg,Na_mgperg,K_mgperg,Nematodespergdrysoil,Veg_richness,Veg_shannon,Veg_simpson,Veg_evenness,TotalCarbon,TotalNitrogen,alpha,Standardized Absorbance (L mg-1 cm-1),pH,Water content as percentage wet soil mass,DOC Concentration (mgCperg),TNb Concentration (mgNperg),CNratio,individualsperm2to10cmdepth,Morphotype_richness,Morphotype_shannon,Morphotype_simpson,Morphotype_evenness,250 Absorbance (L mg-1 cm-1),254 Absorbance (L mg-1 cm-1),260 Absorbance (L mg-1 cm-1),265 Absorbance (L mg-1 cm-1),272 Absorbance (L mg-1 cm-1),280 Absorbance (L mg-1 cm-1),285 Absorbance (L mg-1 cm-1),300 Absorbance (L mg-1 cm-1),340 Absorbance (L mg-1 cm-1),350 Absorbance (L mg-1 cm-1),365 Absorbance (L mg-1 cm-1),400 Absorbance (L mg-1 cm-1),436 Absorbance (L mg-1 cm-1),465 Absorbance (L mg-1 cm-1)
WB3,Woodland,Bracken Present,54.528309,-2.7760721,0.004652875,0.001935486,0.103328554,0.365902224,4.909804087,0.116555903,0.308116276,14.04962941,3,0.886789688,0.519395135,0.807190759,148.2731483,9.607695885,0.016326524,0.000643969,5.72,55.21494093,1.231895769,0.149028707,15.43274788,118.6659256,31,2.676083951,0.880215145,0.779293513,0.000661295,0.000643969,0.000613648,0.000599209,0.000555892,0.000522683,0.00049525,0.00041728,0.000316209,0.000290219,0.000267117,0.000220913,0.000189148,0.000174709
WB4,Woodland,Bracken Present,54.529418,-2.7769121,NA,NA,NA,NA,NA,NA,NA,69.29896421,5,1.065030919,0.5921522,0.661740917,305.4905845,14.2192179,0.016591663,0.002883347,3.82,66.48096155,1.918494454,0.124601752,21.4843451,304.0496033,45,2.757447096,0.907502336,0.724373937,0.002977574,0.002883347,0.002748288,0.002644638,0.002415353,0.002178738,0.002014364,0.00165002,0.00098729,0.000845949,0.000678435,0.000389472,0.000248131,0.000194736
WB6,Woodland,Bracken Present,54.528721,-2.7763117,0.031954805,0.030345253,0.160261485,0.216072732,2.600629906,0.100194681,0.153367251,15.55568846,4,0.938555238,0.551440329,0.677024494,122.9752122,8.178685032,0.017150058,0.001038882,5.32,52.38135922,0.952657096,0.101456248,15.03606163,193.5324108,56,3.32158484,0.93466759,0.825166369,0.001070958,0.001038882,0.000978296,0.00094622,0.000860686,0.00078228,0.000728821,0.000593392,0.000392031,0.000342136,0.000294023,0.000222745,0.000179978,0.000162158
WB7,Woodland,Bracken Present,54.528771,-2.777008,0.208000756,0.010687642,0.144143664,0.207079643,0.435222959,0.135484838,0.240909817,8.414305823,3,0.836285622,0.526266756,0.761219978,118.4400218,7.498898587,0.013686204,0.001068581,4.24,45.03408722,1.305170185,0.105312138,15.79432238,199.1346648,45,3.057714639,0.92840837,0.803253414,0.001090028,0.001068581,0.001021902,0.000985315,0.000894479,0.000802382,0.000740563,0.000610618,0.000398668,0.000349465,0.000297739,0.000203119,0.000151393,0.000132469
WB8,Woodland,Bracken Present,54.528854,-2.7765924,0.197741879,0.004916462,0.16662817,0.138655397,0.342984704,0.055264093,0.257547943,22.15744937,4,1.095836644,0.61976163,0.790479046,119.5544112,8.411561068,0.014287475,0.000869912,4.61,49.94809474,1.038351936,0.105895788,14.21310625,127.8332503,44,3.201513372,0.941254901,0.846023503,0.000901836,0.000869912,0.000830008,0.000804469,0.000742219,0.000676776,0.000633679,0.000523544,0.000343176,0.000304868,0.000260176,0.00019154,0.000159617,0.000146848
WN2,Woodland,Bracken Absent,54.528846,-2.7764377,0.007836878,0.013674212,0.207891547,0.45583018,6.442055039,0.217142138,0.421558128,15.4055953,2,0.340499778,0.191326531,0.491237342,226.3849725,12.41597932,0.017771186,0.000348958,5.41,65.63509852,2.778596588,0.306321163,18.23335611,113.5729674,28,2.603277406,0.899399399,0.781247789,0.000360942,0.000348958,0.000329924,0.000316529,0.000291151,0.000267887,0.000250263,0.00020444,0.000134648,0.000119139,0.000102925,7.5431261849185e-05,6.48567858890189e-05,5.92170653769303e-05
WN4,Woodland,Bracken Absent,54.528551,-2.7776219,0.039523242,0.031826149,0.237067121,0.813801871,2.399457372,0.271997623,0.724366742,77.01533136,4,1.109229896,0.650248584,0.800140235,435.9265944,21.9843502,0.014636604,0.000595432,3.9,70.24401991,2.434870384,0.226380046,19.82895061,238.8597386,43,2.861002382,0.899650393,0.760662101,0.000604227,0.000595432,0.000575203,0.000564649,0.000524191,0.000486372,0.000456468,0.000384348,0.000279686,0.000255939,0.000226035,0.000176783,0.000153036,0.00014424
WN5,Woodland,Bracken Absent,54.52858,-2.7759227,0.140136203,0.044219981,0.233827783,0.552610309,1.999790752,0.174236453,0.729153494,77.55966005,4,1.249199416,0.68478346,0.901106901,247.5737106,11.88708243,0.014001538,0.00097114,4.23,60.8805543,2.834076095,0.249665043,20.82712156,114.591559,29,2.700088733,0.897422222,0.801856703,0.00099333,0.00097114,0.000932634,0.000895433,0.000810589,0.000721176,0.000661132,0.000533866,0.000325671,0.000284554,0.000230385,0.000143583,9.92024643980629e-05,8.22336218036574e-05
WN6,Woodland,Bracken Absent,54.529176,-2.7768766,0.200940232,0.015329163,0.106712042,0.309840043,0.798663388,0.119535416,0.231170536,13.74238724,4,1.194429815,0.673816568,0.861598985,131.1883142,7.623120725,0.013655317,0.001052607,4.23,48.84219964,1.421075154,0.109776675,17.20926625,296.9194618,43,2.711306523,0.888401802,0.720862076,0.001073636,0.001052607,0.001007045,0.000970828,0.000885545,0.000793252,0.000732502,0.00059932,0.000390201,0.00034347,0.000292066,0.000198605,0.000154211,0.000135519
WN8,Woodland,Bracken Absent,54.530218,-2.7628808,0.1873817,0.00394269,0.07275571,0.109845047,0.477668594,0.045028507,0.219349757,1.557147686,1,0,0,0,63.27051889,4.534237749,0.01287972,0.002256021,4.8,33.40149772,0.387088425,0.029112135,13.95394825,115.6101507,38,2.958838073,0.917541579,0.813407008,0.00231076,0.002256021,0.002130904,0.002060526,0.001896309,0.001767282,0.001665624,0.00140757,0.000989209,0.000879731,0.000754614,0.000543478,0.000418361,0.000379262
